ASU,Arizona State,Arizona State ,Arizona State Barney & Sil,Arizona State Brisson & ,Arizona State C,Arizona State Canarie & Reve,Arizona State Canarie & Whee,Arizona State Chotras & Ra,Arizona State Chowdhury & K,Arizona State Ferdowsian & Vin,Arizona State Green & Red,Arizona State Guthrie & Ferdows,Arizona State Moe & Yo,Arizona State Quint & ,Arizona State R,Arizona State Rajan & Chot,,,,,,,,,,,,,,,,,,
App State,AppSta,AppState,Appalachian State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Competitive Speech and Debate Club,AriCom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AugCol,Auggie,Augie,Augsburg College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,Augustana,Augustana - Engelhardt and Heid,Augustana College,Augustana College/Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard,Bard ,BarCol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Baylo,BayU,Baylor Alaina Walberg & Alden Con,Baylor Bacon & B,Baylor Barron & Con,Baylor Barron & Ev,Baylor Barron & Z,Baylor Boor  Bar,Baylor Evans & Chokh,Baylor Evans & Walb,Baylor Montgomery & St,Baylor Ramsey & Walms,Baylor Ramsey & Wil,Baylor Sheaff & Walb,Baylor Sheaff & Walms,Baylor Stump & Walms,Baylor Woods & Z,,,,,,,,,,,,,,,,,
BC,Bos Col,BosCol,BosColl,Boston,Boston Coll,Boston College,Boston College - Ferguson and McCorm,Boston College Carelli & Kontopou,BostonColleg,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,Cal,CalBer,CalBerkeley,Cali,California,California Berkeley Wimsatt  SergentLevent,California Berkeley,,"California, Berkeley","California, Berkeley Epner & Mar","California, Berkeley Greenbury & Gru","California, Berkeley Muppalla & Spurl","California, Berkeley Sergent-Leventhal & Wims","California, Berkeley Spurlock & Muppa",UC Berke,UC Berkeley,,,,,,,,,,,,,,,,,,
BING,BHamt,BinU,Bing,Bingha,Bingha M,Bingham,Binghamton,Binghamton Buttgereit & Sm,Binghamton Cepin & Seh,Binghamton Friedman & Choudh,Binghamton Herrera & Ce,Binghamton Herrera & Sm,Binghamton Sehgal & Redd,Binghmtn,,,,,,,,,,,,,,,,,,,,
CSU Chico,CSUChi,CHICO,Chico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSUF,CSUF Aquino & Soco,CSUFullerton,Cal State Fullerton,Cal State Fullerton Arias & Salc,Cal State Fullerton B,Cal State Fullerton Botello & R,Cal State Fullerton Brooks & Stanfi,Cal State Fullerton Delgado & Gonza,Cal State Fullerton Garcia & Ru,Cal State Fullerton Leon & Dela,Cal State Fullerton R,Cal State Fullerton Rawlings & R,Cal State Fullerton Rodriguez & Gonza,Cal State Fullerton Rosas & Ru,Cal State Fullerton Tero & Benc,,,,,,,,,,,,,,,,,,,
CSU Long Beach,CSU Long Beach Broadway & Robe,CSULongBeach,Long Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Maritime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
